#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
279694:5257,08/28/16 04:03:09,2235,HLT_PFHT750_4JetPt50_v6,0.422637127,0.410524768
279715:5258,08/28/16 22:01:34,577,HLT_PFHT750_4JetPt50_v6,0.134594200,0.129165228
279716:5258,08/29/16 02:17:06,1638,HLT_PFHT750_4JetPt50_v6,0.265251087,0.258407241
279760:5261,08/29/16 20:21:24,658,HLT_PFHT750_4JetPt50_v6,0.161024012,0.155199085
279766:5261,08/30/16 01:08:36,1690,HLT_PFHT750_4JetPt50_v6,0.279009964,0.270889647
279767:5261,08/30/16 12:08:03,776,HLT_PFHT750_4JetPt50_v6,0.092636863,0.090583908
279794:5264,08/30/16 23:41:02,1024,HLT_PFHT750_4JetPt50_v6,0.232460796,0.225486947
279823:5265,08/31/16 10:00:39,335,HLT_PFHT750_4JetPt50_v6,0.085329204,0.082750019
279841:5266,08/31/16 15:23:17,2040,HLT_PFHT750_4JetPt50_v6,0.396657811,0.384216979
279844:5267,09/01/16 07:21:16,224,HLT_PFHT750_4JetPt50_v6,0.059896668,0.057240986
279887:5270,09/01/16 23:20:52,319,HLT_PFHT750_4JetPt50_v6,0.078037606,0.074126575
279931:5274,09/02/16 11:37:39,2936,HLT_PFHT750_4JetPt50_v6,0.495181699,0.479950450
279966:5275,09/03/16 09:20:25,363,HLT_PFHT750_4JetPt50_v6,0.098086749,0.094085114
279975:5276,09/03/16 14:45:09,1024,HLT_PFHT750_4JetPt50_v6,0.250777578,0.241662520
279993:5277,09/04/16 00:23:27,78,HLT_PFHT750_4JetPt50_v6,0.021218782,0.018287474
279994:5277,09/04/16 00:56:48,54,HLT_PFHT750_4JetPt50_v6,0.015176453,0.012524966
280013:5277,09/04/16 03:35:47,32,HLT_PFHT750_4JetPt50_v6,0.007587930,0.005697175
280015:5277,09/04/16 03:55:19,572,HLT_PFHT750_4JetPt50_v6,0.120942443,0.116388172
280016:5277,09/04/16 07:42:16,155,HLT_PFHT750_4JetPt50_v6,0.028921928,0.026838406
280017:5277,09/04/16 08:45:47,613,HLT_PFHT750_4JetPt50_v6,0.102625897,0.098921384
280018:5277,09/04/16 12:47:05,1282,HLT_PFHT750_4JetPt50_v6,0.164850851,0.160429977
280020:5277,09/04/16 21:15:15,45,HLT_PFHT750_4JetPt50_v6,0.004826981,0.004651996
280024:5277,09/04/16 21:47:39,427,HLT_PFHT750_4JetPt50_v6,0.042966907,0.042184958
280187:5279,09/05/16 20:24:23,60,HLT_PFHT750_4JetPt50_v6,0.015638582,0.013371081
280188:5279,09/05/16 20:50:25,250,HLT_PFHT750_4JetPt50_v6,0.066158792,0.062262210
280191:5279,09/05/16 22:40:17,906,HLT_PFHT750_4JetPt50_v6,0.189160851,0.180805055
280194:5279,09/06/16 05:36:21,238,HLT_PFHT750_4JetPt50_v6,0.038265302,0.037123022
280242:5282,09/06/16 15:43:40,628,HLT_PFHT750_4JetPt50_v6,0.156203469,0.149332061
280249:5282,09/06/16 19:52:07,1435,HLT_PFHT750_4JetPt50_v6,0.250001497,0.241480183
280251:5282,09/07/16 05:14:58,371,HLT_PFHT750_4JetPt50_v6,0.048858039,0.047592501
280327:5287,09/08/16 08:23:13,44,HLT_PFHT750_4JetPt50_v6,0.010709897,0.008819257
280330:5287,09/08/16 08:46:53,862,HLT_PFHT750_4JetPt50_v6,0.195935354,0.187767451
280349:5287,09/08/16 14:27:22,625,HLT_PFHT750_4JetPt50_v6,0.109446418,0.105115956
280363:5287,09/08/16 18:47:24,360,HLT_PFHT750_4JetPt50_v6,0.052319451,0.050468859
280364:5287,09/08/16 21:09:57,1351,HLT_PFHT750_4JetPt50_v6,0.162516498,0.156605510
280383:5288,09/09/16 08:41:13,9,HLT_PFHT750_4JetPt50_v6,0.002497651,0.000250886
280384:5288,09/09/16 08:48:48,40,HLT_PFHT750_4JetPt50_v6,0.010195902,0.007897894
280385:5288,09/09/16 09:11:36,2019,HLT_PFHT750_4JetPt50_v6,0.383736092,0.368580819
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_PFHT750_4JetPt50_v6,34,77,45366,8.433683808,8.072032418
#
#Sum delivered  : 8.433683808
#Sum recorded : 8.072032418
#Check JSON:
#(run,ls) in json but not in results: [(284044, 1), (284044, 2), (284044, 3), (284044, 4), (284044, 5), (284044, 6), (284044, 7), (284044, 8), (284044, 9), (284044, 10), (284044, 11), (284044, 12), (284044, 13), (284044, 14), (284044, 15), (284044, 16), (284044, 17), (284044, 18), (284044, 19), (284044, 20), (284044, 21), (284044, 22), (284044, 23), (284044, 24), (284044, 25), (284044, 26), (284044, 27), (284044, 28), (284044, 29), (284044, 30)]
